Name,Population,Region,Area,GDP
Artsakh,"148,900",Middle East,N/A,N/A
Christmas Island(Australia),"1,692",Oceania,N/A,N/A
Norfolk Island(Australia),"2,188",Oceania,N/A,N/A
Northern Cyprus,"382,836",Middle East,N/A,N/A
Puerto Rico(US),"3,221,789",Carribean,N/A,N/A
Saint Pierre and Miquelon(France),"6,092",North America,N/A,N/A
South Ossetia,"56,520",Europe,N/A,N/A
Western Sahara,"587,259",North Africa,N/A,N/A
Abkhazia,"244,236",Europe,"8,665",N/A
Afghanistan,"34,262,840",South Asia,"652,230"," $19,101,353,833 "
Aland,"30,569",Europe,"1,583",N/A
Albania,"2,761,785",Europe,"28,748"," $15,278,077,447 "
Algeria,"45,400,000",North Africa,"2,381,741"," $169,988,236,398 "
American Samoa,"49,710",Oceania,199," $636,000,000 "
Andorra,"83,523",Europe,468," $3,154,057,987 "
Angola,"33,086,278",Sub-Saharan Africa,"1,246,700"," $94,635,415,870 "
Anguilla,"15,701",Carribean,91," $108,900,000 "
Antigua and Barbuda,"100,772",Carribean,440," $1,727,759,259 "
Argentina,"46,654,581",South America,"2,780,400"," $449,663,446,954 "
Armenia,"2,981,200",Middle East,"29,743"," $13,672,802,158 "
Aruba,"106,739",Carribean,179," $2,700,558,659 "
Australia,"26,825,500",Oceania,"7,692,024"," $1,392,680,589,329 "
Austria,"9,129,652",Europe,"83,879"," $446,314,739,528 "
Azerbaijan,"10,151,517",Middle East,"86,600"," $39,207,000,000 "
Bahrain,"1,577,059",Middle East,785," $38,574,069,149 "
Bangladesh,"169,828,911",South Asia,"147,570"," $302,571,254,131 "
Barbados,"267,800",Carribean,439," $5,209,000,000 "
Belarus,"9,200,617",Europe,"207,595"," $63,080,457,023 "
Belgium,"11,772,639",Europe,"30,688"," $529,606,710,418 "
Belize,"441,471",North America,"22,966"," $1,879,613,600 "
Benin,"12,606,998",Sub-Saharan Africa,"114,763"," $14,390,709,095 "
Bermuda,"64,055",North America,53," $5,573,710,000 "
Bhutan,"770,276",South Asia,"38,394"," $2,446,674,101 "
Bolivia,"12,006,031",South America,"1,098,581"," $40,895,322,865 "
Bosnia and Herzegovina,"3,277,082",Europe,"51,197"," $20,047,848,435 "
Botswana,"2,410,338",Sub-Saharan Africa,"581,737"," $18,340,510,789 "
Brazil,"203,062,512",South America,"8,515,767"," $1,839,758,040,766 "
British Virgin Islands,"31,538",Carribean,151," $839,700,000 "
Brunei,"445,400",South Asia,"5,765"," $13,469,422,941 "
Bulgaria,"6,447,710",Europe,"110,994"," $86,000,000,000 "
Burkina Faso,"22,185,654",Sub-Saharan Africa,"274,200"," $15,745,810,235 "
Burundi,"12,837,740",Sub-Saharan Africa,"27,834"," $3,012,334,882 "
Cambodia,"17,091,464",South Asia,"181,035"," $27,089,389,787 "
Cameroon,"28,088,845",Sub-Saharan Africa,"475,442"," $38,760,467,033 "
Canada,"40,478,400",North America,"9,984,670"," $1,736,425,629,520 "
Cape Verde,"491,233",Sub-Saharan Africa,"4,033"," $1,981,845,741 "
Cayman Islands,"71,105",Carribean,264," $5,485,419,417 "
Central African Republic,"5,633,412",Sub-Saharan Africa,"622,984"," $2,220,307,369 "
Chad,"17,414,717",Sub-Saharan Africa,"1,284,000"," $11,314,951,343 "
Chile,"19,960,889",South America,"756,102"," $282,318,159,745 "
China,"1,411,750,000",East Asia,"9,596,961"," $19,910,000,000,000 "
Cocos (Keeling) Islands,593,Oceania,14," $11,012,550 "
Collectivity of Saint Martin,"32,358",Carribean,53," $771,900,000 "
